description,actual_year_built,square_feet,number_of_buildings,parcel_id
HOTEL-LIMITED SERVICE,1989,26392,1,171A4 B009
HOTEL-LIMITED SERVICE,1989,1144,1,171A4 B009
HOTEL-LIMITED SERVICE,1989,3573,1,171A4 B009
HOTEL-LIMITED SERVICE,1989,9444,1,171A4 B009
HOTEL-LIMITED SERVICE,1989,21,1,171A4 B009
HOTEL-LIMITED SERVICE,1989,1008,1,171A4 B009
HOTEL-LIMITED SERVICE,1989,11728,1,171A4 B009
HOTEL-LIMITED SERVICE,1989,1210,1,171A4 B009
HOTEL-LIMITED SERVICE,1989,836,1,171A4 B009
HOTEL-LIMITED SERVICE,1989,15,1,171A4 B009
