description,actual_year_built,square_feet,number_of_buildings,parcel_id
PARKING STRUCTURE,2015,81812,1,171B4 C008
CLUBHOUSE,2016,30076,1,171B4 C008
DOWNTOWN RETAIL,2016,15600,1,171B4 C008
OFFICE-GENERAL,2016,33840,1,171B4 C008
APARTMENT,2016,67680,1,171B4 C008
APARTMENT,2016,173190,1,171B4 C008
PARKING STRUCTURE,2016,219545,1,171B4 C008
RETAIL STORE,2016,24072,1,171B4 C008
RETAIL STORE,2016,23668,1,171B4 C008
APARTMENT,2016,122465,1,171B4 C008
APARTMENT,2016,88505,1,171B4 C008
APARTMENT,2016,14060,1,171B4 C008
