"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"122B2 G004","500 N MILLEDGE AVE","7/12/2021","$540,000.00","Qualified","FM","0.41","Commercial","1976","2084","$0.00","4030C-MILLEDGE AVE"
"122B2 M002","320 N MILLEDGE AVE","6/25/2021","$505,000.00","Qualified","FM","0.28","Commercial","1930","4551","$110.96","4030C-MILLEDGE AVE"
"122B2 F006","524 HILL ST","3/29/2021","$770,000.00","Qualified","FM","0.56","Residential","1868","4874","$157.98","4030C-MILLEDGE AVE"
"122B2 F006A","540 HILL ST","3/29/2021","$770,000.00","Qualified","FM","0.24","Residential","","","$0.00","4030C-MILLEDGE AVE"
"171A3 K003","125 S MILLEDGE AVE","12/30/2020","$863,040.00","Qualified","FM","0.45","Commercial","1957","4823","$178.94","4030C-MILLEDGE AVE"
"122B2 B007","623 N MILLEDGE AVE","12/30/2020","$650,000.00","Qualified","FM","0.37","Commercial","1973","2970","$0.00","4030C-MILLEDGE AVE"
"122D2 A002","480 S MILLEDGE AVE","8/8/2017","$2,235,000.00","Qualified","FM","0.95","Commercial","1962","4002","$0.00","4030C-MILLEDGE AVE"
"122D2 A002","480 S MILLEDGE AVE","7/15/2020","$2,300,000.00","Qualified","FM","0.95","Commercial","1962","4002","$0.00","4030C-MILLEDGE AVE"
"122B2 A005","610 N MILLEDGE AVE","6/25/2014","$200,000.00","Qualified","FM","0.19","Commercial","1975","1792","$0.00","4030C-MILLEDGE AVE"
"122B2 A005","610 N MILLEDGE AVE","7/1/2020","$275,000.00","Qualified","FM","0.19","Commercial","1975","1792","$0.00","4030C-MILLEDGE AVE"
"122B2 F008","587 N MILLEDGE AVE","7/1/2020","$325,000.00","Qualified","FM","0.27","Commercial","1911","2268","$143.30","4030C-MILLEDGE AVE"
"173A3 C004","1175 S MILLEDGE AVE","1/4/2019","$633,713.00","Qualified","FM","0.37","Commercial","1918","7464","$84.90","4030C-MILLEDGE AVE"
"173A3 C004","1175 S MILLEDGE AVE","1/30/2020","$727,500.00","Qualified","FM","0.37","Commercial","1918","7464","$97.47","4030C-MILLEDGE AVE"
"122B2 M001","340 N MILLEDGE AVE","12/10/2014","$850,000.00","Qualified","LM","1.49","Commercial","2015","9658","$0.00","4030C-MILLEDGE AVE"
"122D4 F032","624 S MILLEDGE AVE","5/1/2017","$1,620,000.00","Qualified","FM","0.97","Commercial","1974","16200","$0.00","4030C-MILLEDGE AVE"
"122D4 F032","624 S MILLEDGE AVE","4/1/2019","$3,700,000.00","Qualified","FM","0.97","Commercial","1974","16200","$0.00","4030C-MILLEDGE AVE"
"124B2 G023","920 S MILLEDGE AVE","5/14/2018","$475,000.00","Qualified","FM","0.41","Commercial","1964","2336","$0.00","4030C-MILLEDGE AVE"
"171C1 D008","387 S MILLEDGE AVE","12/8/2017","$2,500,000.00","Qualified","FM","1","Residential","2018","4762","$452.90","4030C-MILLEDGE AVE"
"122B2 H006","428 N MILLEDGE AVE","3/14/2017","$245,000.00","Qualified","LM","0.39","Commercial","2018","2346","$0.00","4030C-MILLEDGE AVE"
"171A3 L004","255 S MILLEDGE AVE","5/17/2016","$870,000.00","Qualified","FM","0.7","Residential","1950","4958","$175.47","4030C-MILLEDGE AVE"
"122D2 A004","420 S MILLEDGE AVE","3/3/2016","$455,000.00","Qualified","FM","0.48","Commercial","1896","3167","$143.67","4030C-MILLEDGE AVE"
"122D2 A005","398 S MILLEDGE AVE","6/29/2015","$1,030,000.00","Qualified","FM","0.57","Commercial","1890","6457","$159.52","4030C-MILLEDGE AVE"
"171A3 C002","845 W HANCOCK AVE","6/12/2015","$239,000.00","Qualified","FM","0.26","Residential","1953","2174","$109.94","4030C-MILLEDGE AVE"
"124B2 I004","824 S MILLEDGE AVE","3/5/2015","$775,000.00","Qualified","FM","0.74","Commercial","1968","13256","$0.00","4030C-MILLEDGE AVE"
"122B2 B008","635 N MILLEDGE AVE","3/2/2015","$184,000.00","Qualified","FM","0.17","Commercial","1930","1843","$99.84","4030C-MILLEDGE AVE"
"122B2 B009","649 N MILLEDGE AVE","12/9/2014","$135,425.00","Qualified","FM","0.22","Commercial","1915","1196","$113.23","4030C-MILLEDGE AVE"
"122B2 I006","455 N MILLEDGE AVE","8/26/2014","$375,000.00","Qualified","FM","0.34","Commercial","1930","3206","$116.97","4030C-MILLEDGE AVE"
"171C1 F004","595 S MILLEDGE AVE","11/12/2014","$600,000.00","Qualified","FM","0.53","Commercial","1928","4278","$140.25","4030C-MILLEDGE AVE"
"122B4 J005","126 S MILLEDGE AVE","4/30/2014","$730,000.00","Qualified","FM","0.9","Commercial","1907","5454","$133.85","4030C-MILLEDGE AVE"
"122B2 H007","660 MEIGS ST","3/7/2014","$188,000.00","Qualified","FM","0.16","Commercial","1970","1080","$0.00","4030C-MILLEDGE AVE"
