"Parcel ID","Address","Sale Date","Sale Price","Qualified Sales","Reason","Acres","Parcel  Class ","Year  Built ","Square Ft ","Price Per  Square Ft ","Neighborhood"
"163D9 E530","118 RUTH DR 530","6/4/2018","$200,000.00","Qualified","FM","0","Residential","2007","1640","$121.95","5167R-URBAN LOFTS"
"163D9 E530","118 RUTH DR 530","5/26/2021","$287,700.00","Qualified","FM","0","Residential","2007","1640","$175.43","5167R-URBAN LOFTS"
"163D9 E530","118 RUTH DR 530","9/8/2021","$310,000.00","Qualified","FM","0","Residential","2007","1640","$189.02","5167R-URBAN LOFTS"
"163D9 F650","118 RUTH DR 650","11/28/2016","$207,000.00","Qualified","FM","0","Residential","2007","1640","$126.22","5167R-URBAN LOFTS"
"163D9 F650","118 RUTH DR 650","8/2/2021","$320,000.00","Qualified","FM","0","Residential","2007","1640","$195.12","5167R-URBAN LOFTS"
"163D9 D430","118 RUTH DR 430","7/24/2019","$177,900.00","Qualified","FM","0","Residential","2007","1056","$168.47","5167R-URBAN LOFTS"
"163D9 D430","118 RUTH DR 430","7/16/2021","$214,150.00","Qualified","FM","0","Residential","2007","1056","$202.79","5167R-URBAN LOFTS"
"163D9 A140","118 RUTH DR 140","5/31/2017","$297,000.00","Qualified","FM","0","Residential","2006","2290","$129.69","5167R-URBAN LOFTS"
"163D9 A140","118 RUTH DR 140","7/1/2021","$315,000.00","Qualified","FM","0","Residential","2006","2290","$137.55","5167R-URBAN LOFTS"
"163D9 D410","118 RUTH DR 410","7/31/2015","$130,000.00","Qualified","FM","0","Residential","2007","1056","$123.11","5167R-URBAN LOFTS"
"163D9 D410","118 RUTH DR 410","8/31/2018","$165,000.00","Qualified","FM","0","Residential","2007","1056","$156.25","5167R-URBAN LOFTS"
"163D9 D410","118 RUTH DR 410","6/8/2021","$210,000.00","Qualified","FM","0","Residential","2007","1056","$198.86","5167R-URBAN LOFTS"
"163D9 D420","118 RUTH DR 420","6/5/2014","$140,000.00","Qualified","FM","0","Residential","2007","1056","$132.58","5167R-URBAN LOFTS"
"163D9 D420","118 RUTH DR 420","6/28/2018","$171,500.00","Qualified","FM","0","Residential","2007","1056","$162.41","5167R-URBAN LOFTS"
"163D9 D420","118 RUTH DR 420","3/1/2019","$168,900.00","Qualified","FM","0","Residential","2007","1056","$159.94","5167R-URBAN LOFTS"
"163D9 D420","118 RUTH DR 420","5/25/2021","$214,900.00","Qualified","FM","0","Residential","2007","1056","$203.50","5167R-URBAN LOFTS"
"163D9 C310","118 RUTH DR 310","3/11/2016","$273,800.00","Qualified","FM","0","Residential","2008","3003","$91.18","5167R-URBAN LOFTS"
"163D9 C310","118 RUTH DR 310","11/8/2019","$345,000.00","Qualified","FM","0","Residential","2008","3003","$114.89","5167R-URBAN LOFTS"
"163D9 B220","118 RUTH DR 220","5/8/2015","$177,500.00","Qualified","FM","0","Residential","2006","1648","$107.71","5167R-URBAN LOFTS"
"163D9 B220","118 RUTH DR 220","3/31/2017","$183,000.00","Qualified","FM","0","Residential","2006","1648","$111.04","5167R-URBAN LOFTS"
"163D9 B220","118 RUTH DR 220","8/18/2020","$250,000.00","Qualified","FM","0","Residential","2006","1648","$151.70","5167R-URBAN LOFTS"
"163D9 D450","118 RUTH DR 450","4/27/2016","$111,700.00","Qualified","FM","0","Residential","2007","1056","$105.78","5167R-URBAN LOFTS"
